"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"2";"2024-09-22 21:00:57";"Oren's #1 - Full Body";"3044";"Cable Crossover";"3";"13.75";"12";"";"";"";"";""
"2";"2024-09-22 21:00:57";"Oren's #1 - Full Body";"3044";"Goblet Squat (Kettlebell)";"1";"14.0";"10";"";"";"";"";""
"2";"2024-09-22 21:00:57";"Oren's #1 - Full Body";"3044";"Goblet Squat (Kettlebell)";"2";"14.0";"10";"";"";"";"";""
"2";"2024-09-22 21:00:57";"Oren's #1 - Full Body";"3044";"Goblet Squat (Kettlebell)";"3";"14.0";"10";"";"";"";"";""
"2";"2024-09-22 21:00:57";"Oren's #1 - Full Body";"3044";"Romanian Deadlift (Barbell)";"1";"20.0";"12";"";"";"";"";""
"2";"2024-09-22 21:00:57";"Oren's #1 - Full Body";"3044";"Romanian Deadlift (Barbell)";"2";"20.0";"12";"";"";"";"";""
"2";"2024-09-22 21:00:57";"Oren's #1 - Full Body";"3044";"Romanian Deadlift (Barbell)";"3";"20.0";"12";"";"";"";"";""
"2";"2024-09-22 21:00:57";"Oren's #1 - Full Body";"3044";"Sit Up";"1";"12.0";"15";"";"";"";"";""
"2";"2024-09-22 21:00:57";"Oren's #1 - Full Body";"3044";"Sit Up";"2";"12.0";"15";"";"";"";"";""
"2";"2024-09-22 21:00:57";"Oren's #1 - Full Body";"3044";"Sit Up";"3";"12.0";"15";"";"";"";"";""
"2";"2024-09-22 21:00:57";"Oren's #1 - Full Body";"3044";"Russian Twist";"1";"";"16";"";"";"";"";""
"2";"2024-09-22 21:00:57";"Oren's #1 - Full Body";"3044";"Russian Twist";"2";"";"16";"";"";"";"";""
"2";"2024-09-22 21:00:57";"Oren's #1 - Full Body";"3044";"Russian Twist";"3";"";"16";"";"";"";"";""
"2";"2024-09-22 21:00:57";"Oren's #1 - Full Body";"3044";"Lateral Raise (Dumbbell)";"1";"4.0";"15";"";"";"";"";""
"2";"2024-09-22 21:00:57";"Oren's #1 - Full Body";"3044";"Lateral Raise (Dumbbell)";"2";"4.0";"15";"";"";"";"";""
"2";"2024-09-22 21:00:57";"Oren's #1 - Full Body";"3044";"Lateral Raise (Dumbbell)";"3";"4.0";"15";"";"";"";"";""
"2";"2024-09-22 21:00:57";"Oren's #1 - Full Body";"3044";"Bicep Curl (Dumbbell)";"1";"7.5";"12";"";"";"";"";""
